id,项目名称,发布时间,类别,来源,省份,市,区县,项目编号,采购人,代理机构,预算(万元),项目地址,项目周期,中标人,中标金额(元),中标日期
82,2025年市属学校校舍维修及校园环境整治（合肥一六八中学）工程类采购第2包,2025/6/26,工程,政府采购,安徽省,合肥市,,2025BFFZN01555,合肥市教育局,安徽公共资源交易集团项目管理有限公司,47.8,合肥市蜀山区天鹅湖路558号,90日历天,上海轩阳建筑工程有限公司,472000,2025/7/8
83,合肥市妇女儿童保健中心促甲状腺素测定试剂盒等一批配送服务,2025/6/24,服务,政府采购,安徽省,合肥市,包河区,2025BFFFN01524,合肥市妇女儿童保健中心,安徽公共资源交易集团项目管理有限公司,291.31,合肥市包河区云谷路与玉龙路交口,合同生效后一年。合同到期前，经考核合格后，在年度预算能够保障的前提下，可续签累计不超过3年的采购合同，最多续签2次，合同一年一签，合同综合单价不变，最终结算总价不得超过成交总价,杭州云医购供应链科技有限公司,2740258.28,2025/7/8
84,合肥市第三中学2025年校舍维修及校园环境整治项目第7、8、9包,2025/6/25,工程,政府采购,安徽省,合肥市,,2025BFFFN01544,合肥市第三中学,安徽公共资源交易集团项目管理有限公司,74.45,合肥市庐阳区宿州路196号,25日历天,安徽居众建设集团有限公司,439999.99,2025/7/8
85,安徽省交通运输厅“互联网+政务服务”平台整合迁移,2025/6/25,服务,政府采购,安徽省,合肥市,,2025BFAFN01551,安徽省交通运输综合执法监督局,安徽省政府采购中心,211.24,合肥市包河区太平湖路98号,第1包：合同签订后8个月内完成项目建设和初验，初验合格后试运行3个月。竣工验收合格后整体免费质保3年。第2包：自项目合同签订之日至项目终验合格。,"讯飞智元信息科技有限公司,合肥信息工程监理咨询有限公司",2032800,2025/7/8
86,皖西学院2025年部分楼宇屋面翻修项目,2025/6/25,工程,政府采购,安徽省,六安市,,2025BFAZN01549,皖西学院,安徽公共资源交易集团项目管理有限公司,71.3,六安市裕安区云露桥西月亮岛,90日历天,安徽巢炀建设工程有限公司,575000,2025/7/8
87,省管长江河道管理单位管理设施维修改造工程第7包（二次）,2025/6/24,工程,政府采购,安徽省,合肥市,,2025AFAZN01530,安徽省长江河道管理局(安徽省长江河道采砂管理局),安徽省金晨水利水电咨询有限公司,30,安徽省芜湖市弋江区红花山路2号,详见采购需求,安徽省煜城市政工程有限公司,268888,2025/7/8
88,栏杆集镇青岗村蔬菜种植配套冷链设备,2025/6/26,工程,政府采购,安徽省,合肥市,,2025AMMZN00090,巢湖市栏杆集镇人民政府,巢湖市清诚工程咨询有限公司,390,安徽省合肥市巢湖市栏杆集镇栏杆路与南大街交叉口东南120米,100日历天,安徽皖天下建筑工程有限公司,2613064.49,2025/7/8
89,2025年庐阳区桥梁设施养护维修服务,2025/6/13,服务,政府采购,安徽省,合肥市,庐阳区,2025ALLFZ00062,合肥市庐阳区园林绿化管理中心,合肥庐阳公共资源交易有限公司,85,合肥市庐阳区兰花路西中铁湿地公园应急基地,365（日历天）,安徽凝聚建设工程有限公司,850000,2025/7/8
90,新站高新区政务服务中心食堂托管服务项目,2025/6/27,服务,政府采购,安徽省,合肥市,高新区,2025AXXFN00064,安徽合肥新站高新技术产业开发区党政办公室,合肥新站公共资源交易有限公司,117.5,安徽省合肥市新站区文忠路999号,365日历天,合肥黄山大厦酒店管理集团有限公司,1173000,2025/7/8
91,新站高新区生态环境分局2025年开发区环境影响跟踪评价及区域评估（二次）,2025/6/26,服务,政府采购,安徽省,合肥市,高新区,2025AXXFN00063,合肥市新站高新技术产业开发区生态环境分局,合肥新站公共资源交易有限公司,50,安徽省合肥市新站区文忠路999号,自合同签订之日起至2025年12月31日,安徽科欣环保股份有限公司,398000,2025/7/8
92,肥西县智能交通系统服务,2025/6/24,服务,政府采购,安徽省,合肥市,肥西县,2025AEEFD00123,肥西县公安局,肥西县公共资源交易有限责任公司,360,安徽省合肥市肥西县上派镇人民西路与振宁路交口口往西50米,自合同签订之日起1年,肥西县数字化建设发展有限责任公司,3585600,2025/7/8
93,肥西县县直机关等幼儿园维修改造等工程,2025/6/26,工程,政府采购,安徽省,合肥市,肥西县,2025AEEZN00127,肥西县教育体育局,肥西县公共资源交易有限责任公司,135,安徽省合肥市肥西县上派镇紫石路与佛光路交口肥光办公区4号楼,45日历天,安徽鼎晖建设工程有限公司,1010000,2025/7/8
94,肥西县铭传乡人民政府食堂服务外包项目,2025/6/27,服务,政府采购,安徽省,合肥市,肥西县,2025AEEFN00130,肥西县铭传乡人民政府,肥西县公共资源交易有限责任公司,70,安徽省合肥市肥西县铭传乡半金路049号,本次项目服务期限为一年，合同一年一签,合肥黄山大厦酒店管理集团有限公司,640000,2025/7/8
95,蜀山区融媒体中心视频合作,2025/6/30,服务,政府采购,安徽省,合肥市,蜀山区,2025ASSFD00029,中国共产党合肥市蜀山区委员会宣传部,合肥蜀山公共资源交易项目管理有限公司,200,安徽省合肥市蜀山区三里庵街道梅山路107号811室,合同签订之日起至合作双方协商确认后时间为准,合肥广电传媒有限公司,2000000,2025/7/8
96,蜀心办功能升级项目2.0,2025/6/26,服务,政府采购,安徽省,合肥市,,2025ASSFN00027,合肥市蜀山区人民政府办公室,合肥蜀山公共资源交易项目管理有限公司,142.08,安徽省合肥市蜀山区三里庵街道梅山路107号,自合同签订后365日历天,江苏风云科技服务有限公司,1415000,2025/7/8
97,长丰县2025年第三批次城乡建设用地增减挂钩试点项目,2025/6/23,工程,政府采购,安徽省,合肥市,长丰县,2025ACCZN00204,长丰县下塘镇人民政府,长丰县公共资源交易有限责任公司,180,安徽省合肥市长丰县下塘镇下塘路88号,30日历天,楚宸建设集团有限公司,886000,2025/7/8
98,2025年安徽农业大学本科教学实验室建设设备采购项目第4包（3次）,2025/6/13,货物,政府采购,安徽省,合肥市,,2025BFAHZ01380,安徽农业大学,安徽公共资源交易集团项目管理有限公司,40.06,合肥市蜀山区长江西路130号,30个日历天,合肥天骁生物科技有限公司,386800,2025/7/7
99,2025年安徽粮食工程职业学院公共机房改造项目,2025/5/30,工程,政府采购,安徽省,合肥市,,2025BFAHZ01240,安徽粮食工程职业学院,安徽省政府采购中心,175,合肥市瑶海区学林路2号,40个日历日内,安徽汇迈信息科技有限公司,1565660,2025/7/7
100,2025年市属学校计算机教室设备采购与安装,2025/5/13,货物,政府采购,安徽省,合肥市,,2025BFFHZ00986,合肥市教育局,合肥市政府采购中心,182.8,合肥市蜀山区天鹅湖路558号,40个日历日,中国移动通信集团安徽有限公司,1251254,2025/7/7
101,2025年市属学校音乐、美术、通用技术教室设备及器材采购第1包（2次）,2025/6/16,货物,政府采购,安徽省,合肥市,,2025BFFHZ01417,合肥市教育局,合肥市政府采购中心,96.86,合肥市蜀山区天鹅湖路558号,60个日历日,安徽凯力达教育设备有限公司,950757,2025/7/7
102,2025年铜陵学院校园安保服务项目,2025/6/10,服务,政府采购,安徽省,铜陵市,,2025BFAFZ01325,铜陵学院,安徽公共资源交易集团项目管理有限公司,370,铜陵市铜官区翠湖四路1335号,本项目服务期限一年,中保恒杰保安服务集团有限公司,3669489.67,2025/7/7
103,上海中医药大学附属曙光医院安徽医院采购泌尿外科设备项目第2包双极等离子电切电凝系统（六次）,2025/5/26,货物,政府采购,安徽省,合肥市,,2025AFAHZ01152,安徽中医药大学第一附属医院（安徽省中医院）,安徽安天利信工程管理股份有限公司,25,安徽省合肥市蜀山区五里墩街道合肥市蜀山区史河路45号,30日历天,上海麟瑞医疗科技有限公司,98000,2025/7/7
104,合肥市公安局交通警察支队2025年专项资产采购项目（二次）,2025/6/13,货物,政府采购,安徽省,合肥市,包河区,2025BFFHZ01384,合肥市公安局交通警察支队,合肥市政府采购中心,427.08,合肥市包河区马鞍山南路168号,30日历日内完成供货,安徽联昊合耀汽车销售有限公司,1573000,2025/7/7
105,地理信息数据安全管理软件,2025/6/16,货物,政府采购,安徽省,合肥市,,2025BFAHZ01416,安徽省测绘档案资料馆（安徽省基础测绘信息中心）,安徽公共资源交易集团项目管理有限公司,100,合肥市蜀山区龙河路2号,合同签订后30个工作日内完成供货及安装，验收合格后提供一年技术培训和支持服务。,南京吉印信息科技有限公司,700000,2025/7/7
106,安徽国际商务职业学院10、11号学生公寓家具采购项目,2025/6/13,货物,政府采购,安徽省,合肥市,,2025BFAHZ01377,安徽国际商务职业学院,安徽省政府采购中心,237.49,合肥市长丰县魏武路1号,合同签订后接采购人通知30个日历日内完成供货、安装及调试,合肥星火工贸有限公司,1383480,2025/7/7
107,安徽省智慧砂管应用开发项目系统开发及集成,2025/6/16,服务,政府采购,安徽省,合肥市,,2025AFAFZ01392,安徽省长江河道管理局(安徽省长江河道采砂管理局),安徽省江河水利水电工程监理咨询有限公司,97.1,安徽省芜湖市弋江区红花山路2号,270日历天,安徽沃特水务科技有限公司,968000,2025/7/7
108,安徽省电子公文应用平台运维2025-2026年项目,2025/6/12,服务,政府采购,安徽省,合肥市,,2025BFAFZ01358,安徽省工业和信息化厅,安徽省政府采购中心,147.82,合肥市包河区屯溪路306号,2025年7月23日至2026年6月30日,合肥城市云数据中心股份有限公司,1469000,2025/7/7
109,运动项目队训练保障经费（2025年合肥体育运动学校运动员、教练员服装采购）（2次）,2025/6/13,货物,政府采购,安徽省,合肥市,,2025BFFHZ01390,合肥体育运动学校,合肥市政府采购中心,55.12,合肥市蜀山区青阳路7号,90天,南京动玛商贸有限公司,549650,2025/7/7
110,合肥文旅过境短信推送项目,2025/6/18,服务,政府采购,安徽省,合肥市,,2025BFFFD01457,合肥市文化和旅游局,安徽公共资源交易集团项目管理有限公司,40,合肥市政务区天鹅湖路558号,合同签订至2025年12月10日，合同到期前，经考核合格后，在年度预算能够保障的前提下，可续签累计不超过3年,"中国电信股份有限公司合肥分公司,中国移动通信集团安徽有限公司合肥分公司,中国联合网络通信有限公司合肥市分公司",133334,2025/7/7
111,美丽合肥养人之城及合肥都市圈联合宣传推介会,2025/6/25,服务,政府采购,安徽省,合肥市,,2025BFFFN01536,合肥市文化和旅游局,安徽公共资源交易集团项目管理有限公司,105,合肥市政务区天鹅湖路558号,合同签订之日起至2025年12月31日,安徽尚景文化旅游发展有限公司,998000,2025/7/7
112,中国共产党合肥历史馆2025年度场馆维保服务（2次）,2025/6/25,服务,政府采购,安徽省,合肥市,,2025BFFFN01546,中国共产党合肥历史馆服务管理中心,安徽公共资源交易集团项目管理有限公司,36.45,合肥市肥东县白龙镇青龙厂社区褚老圩组,1年,安徽鸿耀城市运营服务有限公司,287000,2025/7/7
113,合肥市妇幼保健院信息系统运维服务项目,2025/6/24,服务,政府采购,安徽省,合肥市,,2025BFFFN01527,合肥市妇幼保健院,合肥市政府采购中心,62,合肥市庐阳区益民街15号,合同生效后一年。合同到期前，经考核合格后，在年度预算能够保障的前提下，可续签累计不超过3年的采购合同，最多续签2次，合同一年一签。,卫宁健康科技集团股份有限公司,616000,2025/7/7
114,安徽医科大学人力资源管理系统采购,2025/6/19,服务,政府采购,安徽省,合肥市,,2025BFAFN01475,安徽医科大学,安徽省政府采购中心,155,合肥市蜀山区梅山路69号,合同签订后6个月内完成人力资源管理系统建设,合肥宏景软件有限公司,1178000,2025/7/7
115,省管长江干堤维修养护工程第5包（三次）,2025/6/20,工程,政府采购,安徽省,合肥市,,2025AFAZN01493,安徽省长江河道管理局(安徽省长江河道采砂管理局),安徽省金晨水利水电咨询有限公司,23,安徽省芜湖市弋江区红花山路2号,详见采购需求,安徽亿帆水利工程有限公司,152000,2025/7/7
116,庐江县市场监督管理局2025年白湖、泥河等10个所快检室服务外包采购,2025/6/26,服务,政府采购,安徽省,合肥市,庐江县,2025ANNFN00201,庐江县市场监督管理局（庐江县知识产权局）,安徽辰旭项目管理有限公司,69.89,安徽省合肥市庐江县庐城镇周瑜大道388号,365（日历天）,安徽科博产品检测研究院有限公司,698500,2025/7/7
